Model,Accuracy,Precision,Recall
Logistic Regression,0.8866213151927438,0.7692307692307693,0.4225352112676056
Decision Tree,0.7505668934240363,0.2808988764044944,0.352112676056338
Random Forest,0.8231292517006803,0.36,0.1267605633802817
